CityObject,Zone
<http://localhost/berlin/cityobject/UUID_8f081c77-8ab7-4869-ad27-152ecd38a2be/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_163336a8-406f-4630-b3d0-281f7ee42817/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_f5c9159d-845d-421b-a81a-f2e59486af22/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a3dfb2e9-203a-4028-887f-be2c20805ef9/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a11a601c-c370-4d4b-8a33-83fd71634d9c/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_f67a1005-1216-4bec-b745-8e6469485f9d/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_b61466e1-1455-43f7-9919-faeabf681039/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_581688cb-6c97-4cd7-b6d5-501476271112/>,WHITE
<http://localhost/berlin/cityobject/UUID_be3a6871-b3c5-4d91-a9ed-bde04d053419/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d45ff15c-c340-42c0-99f6-3d584aa5e9fa/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_c326a5b7-e4ae-4d3f-b986-f42f21a69fcc/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_e9e88bde-8244-413e-8ea7-0f7335ae5b27/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_76198537-6e27-4dc9-8bd2-e8cd8520b502/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_3d169b25-ee06-4b08-9d8d-645f1c0a5e1b/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_fc25e6e5-7d5a-4676-a293-0e94e54d83f3/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_376f6a07-077b-4fac-9b40-baebb1b0be0b/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a575b5ca-7c6d-4425-a09a-c4c780ca7d4a/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d657bf43-4e03-472e-bb30-b1b9b35be3cf/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_1ba98720-6374-42e6-a212-1a301cd21412/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a9323da7-d81f-4ad2-a97c-740858bd9414/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_9552d759-40a4-46fe-b3ae-dad0079c8692/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_3ee6cc4e-5468-48be-83f7-2bfbc5237741/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_9109a106-5cfe-430c-9f96-5649ba4007a6/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_80d6881b-1922-446e-9268-2c63edb07201/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_8bc4b4fc-9d07-4c79-b7e0-e7cf9f223f21/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_474d0de1-b299-45e3-a879-917d5b4d803f/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_7d726c9f-2c07-45e8-948d-59f95860adbd/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d7c8c5f3-dfe3-4e29-aacc-7de03ef555b4/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_4c7457b5-706a-4f54-b372-be34dfaa4bbb/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_9cc167d7-e5eb-44c3-8c23-6d796833770f/>,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY
<http://localhost/berlin/cityobject/UUID_918901c9-db9f-4bce-be3d-7f33d55d61a8/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_8c007ecc-dd57-47fe-a535-8709afe2d94d/>,WHITE
<http://localhost/berlin/cityobject/UUID_61ecaaba-526f-4bc3-a576-9a46dfc11adb/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_0d7ba9d6-d947-4d0c-ac3a-32c813843b25/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a593d11f-1834-4c8c-9828-ca1ad3bd45e5/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_d6342167-e0fd-4cbf-9723-9cae73f1fb60/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_1ee2a352-081b-4b5c-93bd-3bd72ea9c201/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_4aa86620-f998-4a30-8aa4-8c2442564546/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_b779e1c5-6ad1-4dff-8317-f82aad27a993/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_275087c6-44fc-4b43-92d3-a8c14b0d48ab/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_a1817966-df0b-4521-85d9-eaa8d35fdcbe/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_355ed849-5d3f-4a79-8722-fdb179eae4de/>,COMMERCIAL
<http://localhost/berlin/cityobject/UUID_236647e7-9802-42ef-abf8-264f32fa083a/>,COMMERCIAL
